dt,pool,aqua,wellness
2018-02-06 06:00:03,15,0,0
2018-02-06 06:15:03,45,0,0
2018-02-06 06:30:04,53,0,0
2018-02-06 06:45:04,55,0,0
2018-02-06 07:00:05,51,0,0
2018-02-06 07:15:03,40,0,0
2018-02-06 07:30:04,34,0,0
2018-02-06 07:45:04,51,0,0
2018-02-06 08:00:05,48,0,0
2018-02-06 08:15:04,49,0,0
2018-02-06 08:30:04,48,0,0
2018-02-06 08:45:05,45,0,0
2018-02-06 09:00:05,44,0,0
2018-02-06 09:15:04,47,0,0
2018-02-06 09:30:04,43,0,0
2018-02-06 09:45:04,48,0,0
2018-02-06 10:00:06,57,0,0
2018-02-06 10:15:04,56,5,0
2018-02-06 10:30:03,46,8,0
2018-02-06 10:45:03,50,7,0
2018-02-06 11:00:04,42,13,0
2018-02-06 11:15:04,38,14,0
2018-02-06 11:30:04,39,14,0
2018-02-06 11:45:04,39,14,0
2018-02-06 12:00:04,52,13,1
2018-02-06 12:15:04,47,11,3
2018-02-06 12:30:04,68,8,11
2018-02-06 12:45:03,71,5,13
2018-02-06 13:00:04,67,8,17
2018-02-06 13:15:04,80,15,15
2018-02-06 13:30:05,55,38,14
2018-02-06 13:45:05,51,44,11
2018-02-06 14:00:05,64,41,10
2018-02-06 14:15:03,54,49,10
2018-02-06 14:30:05,55,28,6
2018-02-06 14:45:04,65,26,6
2018-02-06 15:00:07,78,25,9
2018-02-06 15:15:03,60,27,11
2018-02-06 15:30:04,46,37,11
2018-02-06 15:45:03,75,25,16
2018-02-06 16:00:04,80,22,21
2018-02-06 16:15:06,106,27,21
2018-02-06 16:30:05,130,36,22
2018-02-06 16:45:03,142,35,26
2018-02-06 17:00:04,151,36,28
2018-02-06 17:15:04,163,30,32
2018-02-06 17:30:03,175,28,26
2018-02-06 17:45:04,172,29,26
2018-02-06 18:00:05,171,20,26
2018-02-06 18:15:04,149,23,39
2018-02-06 18:30:03,114,28,39
2018-02-06 18:45:04,111,25,40
2018-02-06 19:00:05,114,32,46
2018-02-06 19:15:03,103,41,42
2018-02-06 19:30:04,99,36,52
2018-02-06 19:45:04,105,34,46
2018-02-06 20:00:05,113,9,50
2018-02-06 20:15:05,103,12,41
2018-02-06 20:30:04,68,12,38
2018-02-06 20:45:04,57,12,30
2018-02-06 21:00:06,54,12,23
2018-02-06 21:15:03,36,0,15
2018-02-06 21:30:05,25,0,2
2018-02-06 21:45:04,10,0,0
