dt,pool,aqua,wellness
2024-12-18 05:18:05,0,0,0
2024-12-18 05:31:36,0,0,0
2024-12-18 05:40:45,0,0,0
2024-12-18 05:49:18,0,0,0
2024-12-18 06:14:40,27,0,0
2024-12-18 06:29:48,33,0,0
2024-12-18 06:38:23,34,0,0
2024-12-18 06:48:19,41,0,0
2024-12-18 07:21:03,40,0,0
2024-12-18 07:36:12,41,0,0
2024-12-18 07:44:00,36,0,0
2024-12-18 07:51:20,30,0,0
2024-12-18 08:14:34,25,0,0
2024-12-18 08:25:57,23,0,0
2024-12-18 08:34:49,18,0,0
2024-12-18 08:48:24,23,0,0
2024-12-18 09:20:02,37,0,0
2024-12-18 09:34:18,37,0,0
2024-12-18 09:43:29,40,0,0
2024-12-18 09:52:36,42,0,0
2024-12-18 10:16:16,60,25,21
2024-12-18 10:28:50,57,30,26
2024-12-18 10:37:16,41,37,30
2024-12-18 10:48:24,32,39,32
2024-12-18 11:16:00,53,14,37
2024-12-18 11:33:22,46,8,36
2024-12-18 11:41:17,47,8,31
2024-12-18 11:48:30,52,11,22
2024-12-18 12:12:26,50,14,10
2024-12-18 12:23:28,45,18,12
2024-12-18 12:35:00,38,21,18
