dt,pool,aqua,wellness
2022-03-09 05:07:31,0,0,0
2022-03-09 05:34:23,0,0,0
2022-03-09 05:45:48,0,0,0
2022-03-09 05:53:00,1,0,0
2022-03-09 06:06:30,26,0,0
2022-03-09 06:24:31,41,0,0
2022-03-09 06:35:01,41,0,0
2022-03-09 06:47:34,56,0,0
2022-03-09 07:08:00,60,0,0
2022-03-09 07:32:05,46,0,0
2022-03-09 07:43:43,49,0,0
2022-03-09 07:51:33,45,0,0
2022-03-09 08:06:17,36,0,0
2022-03-09 08:24:22,25,0,0
2022-03-09 08:34:51,27,0,0
2022-03-09 08:47:30,26,0,0
2022-03-09 09:07:47,33,0,0
2022-03-09 09:30:39,43,0,0
2022-03-09 09:40:18,45,0,0
2022-03-09 09:47:55,47,0,0
2022-03-09 10:25:48,69,19,18
2022-03-09 10:37:04,72,18,22
2022-03-09 10:47:28,71,21,23
2022-03-09 11:06:08,81,15,22
2022-03-09 11:29:27,58,21,18
2022-03-09 11:38:42,65,17,16
2022-03-09 11:47:29,62,17,18
2022-03-09 12:05:10,73,12,9
2022-03-09 12:23:03,62,11,19
2022-03-09 12:34:41,49,8,19
2022-03-09 12:47:35,54,11,18
2022-03-09 13:10:58,46,14,13
2022-03-09 13:43:45,41,11,9
2022-03-09 13:55:44,32,9,10
2022-03-09 14:02:13,36,9,10
2022-03-09 14:12:54,45,7,11
2022-03-09 14:29:07,43,18,10
2022-03-09 14:37:33,40,20,9
2022-03-09 14:47:26,43,18,9
2022-03-09 15:04:58,46,22,10
2022-03-09 15:24:59,69,21,14
2022-03-09 15:36:19,78,20,18
2022-03-09 15:47:35,83,23,23
2022-03-09 16:06:05,105,19,28
