dt,pool,aqua,wellness
2025-07-23 06:38:16,29,0,0
2025-07-23 06:51:22,36,0,0
2025-07-23 06:57:43,36,0,0
2025-07-23 07:05:09,40,0,0
2025-07-23 07:24:55,34,0,0
2025-07-23 07:43:50,40,0,0
2025-07-23 07:49:52,36,0,0
2025-07-23 07:55:49,37,0,0
2025-07-23 08:27:31,26,0,0
2025-07-23 08:48:12,25,0,0
2025-07-23 08:54:10,28,0,0
2025-07-23 09:00:15,34,0,0
2025-07-23 09:21:29,34,0,0
2025-07-23 09:33:55,39,0,0
2025-07-23 09:43:11,36,0,0
2025-07-23 09:51:49,56,0,0
2025-07-23 10:24:58,49,42,0
2025-07-23 10:43:49,55,50,0
2025-07-23 10:50:57,35,68,0
2025-07-23 10:59:30,45,72,0
2025-07-23 11:24:04,44,81,0
2025-07-23 11:38:58,52,77,0
2025-07-23 11:46:58,61,72,0
2025-07-23 11:54:31,67,61,0
2025-07-23 12:19:14,69,63,0
2025-07-23 12:39:35,58,73,0
2025-07-23 12:47:24,52,66,0
2025-07-23 12:54:49,57,76,0
2025-07-23 13:16:01,45,89,0
2025-07-23 13:29:13,48,90,0
2025-07-23 13:39:13,64,78,0
2025-07-23 13:49:35,64,85,0
2025-07-23 14:37:44,66,114,0
2025-07-23 15:04:09,66,109,0
2025-07-23 15:11:21,64,109,0
2025-07-23 15:25:20,65,121,0
2025-07-23 15:36:08,74,109,0
2025-07-23 15:47:27,87,101,0
2025-07-23 15:53:00,89,101,0
2025-07-23 15:57:44,93,102,0
2025-07-23 16:19:00,70,105,0
2025-07-23 16:37:19,63,106,0
2025-07-23 16:47:04,80,96,0
2025-07-23 16:56:26,82,97,0
2025-07-23 17:19:43,72,88,13
2025-07-23 17:36:01,72,70,20
2025-07-23 17:44:46,75,69,20
2025-07-23 17:54:14,71,64,23
2025-07-23 18:22:46,72,41,22
2025-07-23 18:43:16,66,31,29
2025-07-23 18:51:13,60,33,32
2025-07-23 18:59:00,62,35,30
2025-07-23 19:18:58,53,21,25
2025-07-23 19:35:16,53,17,25
2025-07-23 19:44:39,55,16,22
2025-07-23 19:53:07,52,11,22
2025-07-23 20:26:08,44,9,11
2025-07-23 20:45:27,28,2,4
2025-07-23 20:52:09,20,0,2
2025-07-23 20:58:22,13,0,1
2025-07-23 21:15:39,3,0,0
2025-07-23 21:27:46,3,0,0
2025-07-23 21:37:23,3,0,0
2025-07-23 21:49:05,3,0,0
2025-07-23 22:19:32,3,0,0
2025-07-23 22:34:42,3,0,0
2025-07-23 22:43:37,3,0,0
2025-07-23 22:53:57,3,0,0
