dt,pool,aqua,wellness
2025-07-03 06:29:01,25,0,0
2025-07-03 06:44:22,27,0,0
2025-07-03 06:53:02,29,0,0
2025-07-03 06:59:00,33,0,0
2025-07-03 07:20:40,31,0,0
2025-07-03 07:36:19,33,0,0
2025-07-03 07:45:06,32,0,0
2025-07-03 07:53:01,32,0,0
2025-07-03 08:26:19,20,0,0
2025-07-03 08:44:31,19,0,0
2025-07-03 08:51:11,25,0,0
2025-07-03 08:57:28,26,0,0
2025-07-03 09:17:01,27,0,0
2025-07-03 09:29:53,28,0,0
2025-07-03 09:38:58,30,0,0
2025-07-03 09:49:03,37,0,0
2025-07-03 10:22:46,47,22,0
2025-07-03 10:38:29,46,41,0
2025-07-03 10:47:15,47,49,0
2025-07-03 10:56:01,43,57,0
2025-07-03 11:18:36,47,71,0
2025-07-03 11:33:53,52,63,0
2025-07-03 11:42:42,39,66,0
2025-07-03 11:51:46,58,48,0
2025-07-03 12:18:32,49,45,0
2025-07-03 12:36:18,62,49,0
2025-07-03 12:44:58,56,48,0
2025-07-03 12:53:11,70,42,0
2025-07-03 13:14:48,51,48,0
2025-07-03 13:27:18,42,54,0
2025-07-03 13:37:14,33,62,0
2025-07-03 13:48:14,37,68,0
2025-07-03 14:35:24,66,88,0
2025-07-03 14:57:43,56,68,0
2025-07-03 15:05:06,53,74,0
2025-07-03 15:18:07,42,87,0
2025-07-03 15:28:53,62,81,0
2025-07-03 15:41:24,100,71,0
2025-07-03 15:47:06,88,73,0
2025-07-03 15:53:31,82,80,0
2025-07-03 16:16:26,65,80,0
