dt,pool,aqua,wellness
2017-07-13 06:00:04,0,0,0
2017-07-13 06:15:03,11,0,0
2017-07-13 06:30:03,15,0,0
2017-07-13 06:45:03,20,0,0
2017-07-13 07:00:04,21,0,0
2017-07-13 07:15:03,23,0,0
2017-07-13 07:30:04,24,0,0
2017-07-13 07:45:03,25,0,0
2017-07-13 08:00:03,24,0,0
2017-07-13 08:15:04,16,0,0
2017-07-13 08:30:04,17,0,0
2017-07-13 08:45:05,15,0,0
2017-07-13 09:00:04,14,0,0
2017-07-13 09:15:04,15,0,0
2017-07-13 09:30:04,13,0,0
2017-07-13 09:45:05,9,0,0
2017-07-13 10:00:05,14,0,0
2017-07-13 10:15:03,34,5,0
2017-07-13 10:30:04,34,29,0
2017-07-13 10:45:03,36,40,0
2017-07-13 11:00:03,32,61,0
2017-07-13 11:15:04,48,51,0
2017-07-13 11:30:03,53,60,0
2017-07-13 11:45:04,41,79,0
2017-07-13 12:00:03,57,65,0
2017-07-13 12:15:04,42,71,0
2017-07-13 12:30:03,44,51,0
2017-07-13 12:45:04,35,48,0
2017-07-13 13:00:05,38,47,0
2017-07-13 13:15:03,53,40,0
2017-07-13 13:30:04,72,55,0
2017-07-13 13:45:03,52,83,0
2017-07-13 14:00:04,53,91,0
2017-07-13 14:15:04,39,109,0
2017-07-13 14:30:08,37,112,0
2017-07-13 14:45:04,37,129,0
2017-07-13 15:00:05,49,134,0
2017-07-13 15:15:03,110,83,0
2017-07-13 15:30:03,83,97,0
2017-07-13 15:45:03,66,110,0
2017-07-13 16:00:04,66,102,0
2017-07-13 16:15:03,60,95,0
2017-07-13 16:30:03,78,86,0
2017-07-13 16:45:03,73,80,0
2017-07-13 17:00:04,76,91,1
2017-07-13 17:15:03,56,91,3
2017-07-13 17:30:03,64,76,3
2017-07-13 17:45:04,73,71,3
2017-07-13 18:00:03,63,80,3
2017-07-13 18:15:05,88,66,3
2017-07-13 18:30:04,82,55,4
2017-07-13 18:45:04,81,49,5
2017-07-13 19:00:05,76,48,8
2017-07-13 19:15:03,89,48,8
2017-07-13 19:30:04,73,47,10
2017-07-13 19:45:04,75,27,12
2017-07-13 20:00:03,63,26,12
2017-07-13 20:15:04,43,29,11
2017-07-13 20:30:03,44,29,12
2017-07-13 20:45:08,39,14,12
2017-07-13 21:00:05,31,10,6
2017-07-13 21:15:03,29,0,6
2017-07-13 21:30:04,14,0,0
2017-07-13 21:45:04,4,0,0
