dt,pool,aqua,wellness
2024-06-03 06:10:25,25,0,0
2024-06-03 06:29:04,38,0,0
2024-06-03 06:37:44,42,0,0
2024-06-03 06:52:39,47,0,0
2024-06-03 07:08:02,46,0,0
2024-06-03 07:28:05,30,0,0
2024-06-03 07:36:16,30,0,0
2024-06-03 07:52:26,28,0,0
2024-06-03 08:09:33,25,0,0
2024-06-03 08:30:53,16,0,0
2024-06-03 08:39:07,24,0,0
2024-06-03 08:52:32,30,0,0
2024-06-03 09:06:48,33,0,0
2024-06-03 09:21:53,33,0,0
2024-06-03 09:35:39,30,0,0
2024-06-03 09:52:46,31,0,0
2024-06-03 10:10:01,26,10,0
2024-06-03 10:28:46,34,12,0
