dt,pool,aqua,wellness
2024-06-24 06:08:31,20,0,0
2024-06-24 06:27:58,35,0,0
2024-06-24 06:37:09,40,0,0
2024-06-24 06:52:33,43,0,0
2024-06-24 07:07:09,47,0,0
2024-06-24 07:27:02,36,0,0
2024-06-24 07:35:45,34,0,0
2024-06-24 07:52:35,27,0,0
2024-06-24 08:09:57,21,0,0
2024-06-24 08:31:23,17,0,0
2024-06-24 08:39:52,12,0,0
2024-06-24 08:52:49,10,0,0
2024-06-24 09:08:10,14,0,0
2024-06-24 09:23:17,16,0,0
2024-06-24 09:35:33,18,0,0
2024-06-24 09:52:43,19,0,0
2024-06-24 10:09:38,48,4,0
2024-06-24 10:29:19,35,25,0
2024-06-24 10:38:04,31,34,0
2024-06-24 10:52:33,30,37,0
2024-06-24 11:08:54,33,38,0
2024-06-24 11:27:05,35,41,0
