dt,pool,aqua,wellness
2020-12-13 04:59:36,0,0,0
2020-12-13 05:35:51,0,0,0
2020-12-13 05:44:28,0,0,0
2020-12-13 05:54:17,0,0,0
2020-12-13 05:59:29,0,0,0
2020-12-13 06:28:29,0,0,0
2020-12-13 06:39:55,0,0,0
2020-12-13 06:47:35,0,0,0
2020-12-13 06:59:41,0,0,0
2020-12-13 07:36:13,0,0,0
2020-12-13 07:46:00,0,0,0
2020-12-13 07:55:36,0,0,0
2020-12-13 07:59:38,0,0,0
2020-12-13 08:30:36,0,0,0
2020-12-13 08:39:10,0,0,0
2020-12-13 08:47:47,0,0,0
2020-12-13 08:59:39,9,0,0
2020-12-13 09:34:49,57,31,9
2020-12-13 09:43:36,59,38,9
2020-12-13 09:52:23,50,50,13
2020-12-13 09:59:27,57,49,17
2020-12-13 10:31:10,89,62,22
2020-12-13 10:41:53,78,70,23
2020-12-13 10:52:31,85,62,18
2020-12-13 10:59:35,100,51,18
2020-12-13 11:31:39,60,61,17
2020-12-13 11:40:31,63,59,18
2020-12-13 11:51:29,67,60,12
2020-12-13 11:59:38,57,60,14
2020-12-13 12:27:56,57,47,17
2020-12-13 12:37:41,59,42,21
2020-12-13 12:47:07,54,39,24
2020-12-13 12:59:46,50,37,21
2020-12-13 13:40:11,56,28,19
2020-12-13 13:49:54,57,30,21
2020-12-13 13:58:22,59,38,18
2020-12-13 14:01:05,59,38,18
2020-12-13 14:27:35,54,63,28
2020-12-13 14:37:21,63,66,29
2020-12-13 14:49:09,65,67,24
2020-12-13 14:59:36,82,65,23
2020-12-13 15:30:30,75,85,26
2020-12-13 15:38:47,85,75,25
2020-12-13 15:47:54,100,61,26
2020-12-13 15:59:28,102,60,28
2020-12-13 16:31:45,59,61,22
2020-12-13 16:42:27,90,50,24
2020-12-13 16:53:20,71,60,22
2020-12-13 16:59:39,76,53,21
