dt,pool,aqua,wellness
2024-02-02 05:07:29,0,0,0
2024-02-02 05:27:00,0,0,0
2024-02-02 05:36:30,0,0,0
2024-02-02 05:52:39,0,0,0
2024-02-02 06:05:43,19,0,0
2024-02-02 06:25:54,35,0,0
2024-02-02 06:35:06,41,0,0
2024-02-02 06:52:38,41,0,0
2024-02-02 07:07:54,41,0,0
2024-02-02 07:25:54,34,0,0
2024-02-02 07:35:17,33,0,0
2024-02-02 07:52:31,34,0,0
2024-02-02 08:03:29,32,0,0
2024-02-02 08:19:21,26,0,0
2024-02-02 08:35:08,23,0,0
2024-02-02 08:52:27,21,0,0
2024-02-02 09:07:53,27,0,0
2024-02-02 09:25:24,33,0,0
2024-02-02 09:35:07,36,0,0
2024-02-02 09:52:49,90,0,0
2024-02-02 10:07:01,80,59,0
2024-02-02 10:21:43,123,100,0
2024-02-02 10:35:09,103,142,0
2024-02-02 10:52:41,105,180,0
2024-02-02 11:06:37,126,198,0
2024-02-02 11:26:56,126,199,0
2024-02-02 11:35:00,133,192,0
2024-02-02 11:52:46,152,164,0
2024-02-02 12:02:01,159,136,3
2024-02-02 12:18:32,136,114,16
2024-02-02 12:35:18,149,111,21
2024-02-02 12:52:38,135,113,28
2024-02-02 13:09:55,129,122,30
2024-02-02 13:35:51,85,160,27
2024-02-02 13:45:22,83,173,27
2024-02-02 13:55:31,85,176,29
2024-02-02 14:03:11,74,184,30
2024-02-02 14:22:32,126,133,32
2024-02-02 14:36:11,122,121,27
2024-02-02 14:52:42,162,109,28
2024-02-02 15:04:11,154,116,33
2024-02-02 15:24:06,150,114,32
2024-02-02 15:35:30,135,117,30
2024-02-02 15:52:44,130,119,34
2024-02-02 16:03:23,134,107,31
2024-02-02 16:22:05,148,95,30
2024-02-02 16:36:25,158,88,31
2024-02-02 16:52:31,142,90,27
2024-02-02 17:04:00,120,108,26
2024-02-02 17:25:59,113,108,25
2024-02-02 17:35:21,97,110,31
2024-02-02 17:52:37,117,99,28
2024-02-02 18:02:51,116,99,34
2024-02-02 18:26:35,108,107,45
2024-02-02 18:35:02,85,122,48
2024-02-02 18:52:35,117,105,37
2024-02-02 19:08:17,117,93,35
2024-02-02 19:27:00,92,68,36
2024-02-02 19:36:37,94,58,39
2024-02-02 19:52:43,87,39,36
2024-02-02 20:02:02,90,23,31
2024-02-02 20:18:23,74,5,23
2024-02-02 20:35:05,48,3,18
2024-02-02 20:52:36,34,0,12
