dt,pool,aqua,wellness
2024-04-13 06:07:10,0,0,0
2024-04-13 06:22:54,0,0,0
2024-04-13 06:35:50,0,0,0
2024-04-13 06:52:33,0,0,0
2024-04-13 07:06:57,1,0,0
2024-04-13 07:24:53,1,0,0
2024-04-13 07:35:07,13,0,0
2024-04-13 07:52:29,69,0,0
2024-04-13 08:06:36,89,0,0
2024-04-13 08:21:26,92,0,0
2024-04-13 08:36:04,96,0,0
2024-04-13 08:52:36,97,0,0
2024-04-13 09:06:23,125,0,4
2024-04-13 09:18:22,121,12,7
2024-04-13 09:36:57,124,21,7
2024-04-13 09:52:28,132,25,7
2024-04-13 10:04:03,125,31,7
2024-04-13 10:21:10,129,33,7
2024-04-13 10:35:51,142,36,7
2024-04-13 10:52:35,133,48,5
2024-04-13 11:04:22,122,54,4
2024-04-13 11:17:49,125,56,5
2024-04-13 11:35:15,125,49,8
2024-04-13 11:52:35,122,52,10
2024-04-13 12:04:19,143,43,10
2024-04-13 12:24:19,126,47,13
2024-04-13 12:34:59,127,41,12
2024-04-13 12:52:40,118,42,12
2024-04-13 13:03:39,123,37,13
2024-04-13 13:17:50,118,50,9
2024-04-13 13:35:14,130,54,10
2024-04-13 13:52:53,121,55,9
2024-04-13 14:08:39,122,42,7
2024-04-13 14:32:51,116,56,3
2024-04-13 14:41:34,84,72,3
2024-04-13 14:52:29,75,68,4
2024-04-13 15:06:15,67,78,4
2024-04-13 15:20:19,56,83,6
2024-04-13 15:35:01,72,76,6
2024-04-13 15:52:38,70,71,6
2024-04-13 16:01:42,79,61,4
