dt,pool,aqua,wellness
2021-08-19 06:00:32,0,0,0
2021-08-19 06:40:24,18,0,0
2021-08-19 06:45:35,21,0,0
2021-08-19 06:56:37,25,0,0
2021-08-19 07:00:32,26,0,0
2021-08-19 07:25:25,24,0,0
2021-08-19 07:30:54,23,0,0
2021-08-19 07:49:53,20,0,0
2021-08-19 08:00:44,24,0,0
2021-08-19 08:36:54,22,0,0
2021-08-19 08:43:01,22,0,0
2021-08-19 08:55:14,17,0,0
2021-08-19 09:00:28,18,0,0
2021-08-19 09:26:34,46,0,0
2021-08-19 09:31:00,46,0,0
2021-08-19 09:49:47,49,0,0
2021-08-19 10:00:37,52,0,0
2021-08-19 10:32:13,52,28,0
2021-08-19 10:36:48,61,28,0
2021-08-19 10:49:49,55,37,0
2021-08-19 11:00:29,48,47,0
2021-08-19 11:29:56,23,51,0
2021-08-19 11:35:48,26,52,0
2021-08-19 11:50:03,39,47,0
2021-08-19 12:00:51,39,42,0
2021-08-19 12:32:18,43,39,0
