dt,pool,aqua,wellness
2021-08-03 06:00:31,2,0,0
2021-08-03 06:39:49,15,0,0
2021-08-03 06:45:04,14,0,0
2021-08-03 06:57:23,13,0,0
2021-08-03 07:00:20,15,0,0
2021-08-03 07:25:12,17,0,0
2021-08-03 07:30:42,18,0,0
2021-08-03 07:49:45,21,0,0
2021-08-03 08:00:36,21,0,0
2021-08-03 08:37:53,12,0,0
2021-08-03 08:44:03,11,0,0
2021-08-03 08:56:09,9,0,0
2021-08-03 09:00:28,11,0,0
2021-08-03 09:26:14,20,0,0
2021-08-03 09:30:46,20,0,0
2021-08-03 09:49:53,21,1,0
2021-08-03 10:00:43,44,1,0
2021-08-03 10:32:36,30,46,0
2021-08-03 10:37:18,37,50,0
2021-08-03 10:49:46,26,72,0
2021-08-03 11:00:24,38,65,0
2021-08-03 11:31:45,42,69,0
2021-08-03 11:37:00,47,64,0
2021-08-03 11:49:47,47,62,0
2021-08-03 12:00:33,34,68,0
2021-08-03 12:35:01,48,69,0
2021-08-03 12:39:48,47,64,0
2021-08-03 12:50:28,51,70,0
2021-08-03 13:00:29,54,84,0
2021-08-03 13:24:47,41,97,0
2021-08-03 13:30:58,46,87,0
2021-08-03 13:49:46,57,85,0
2021-08-03 14:00:49,72,82,0
2021-08-03 14:49:27,79,75,0
2021-08-03 14:55:17,71,84,0
2021-08-03 15:07:41,79,84,0
2021-08-03 15:12:45,70,91,0
2021-08-03 15:32:36,58,89,0
2021-08-03 15:36:46,72,80,0
2021-08-03 15:49:54,70,89,0
2021-08-03 16:00:50,85,79,0
2021-08-03 16:26:04,64,69,0
