dt,pool,aqua,wellness
2026-04-24 08:05:41,45,0,0
2026-04-24 08:18:58,47,0,0
2026-04-24 08:23:14,47,0,0
2026-04-24 08:28:17,51,0,0
2026-04-24 10:28:13,51,10,0
2026-04-24 10:34:22,46,11,0
2026-04-24 10:57:53,50,12,0
2026-04-24 11:07:26,47,11,0
2026-04-24 12:04:52,48,9,4
2026-04-24 12:10:41,57,9,5
2026-04-24 12:40:56,35,15,8
2026-04-24 12:42:27,35,15,8
2026-04-24 13:38:16,51,26,8
2026-04-24 13:43:17,68,23,7
2026-04-24 13:54:46,74,23,9
2026-04-24 14:03:15,80,20,11
2026-04-24 14:44:03,83,16,9
2026-04-24 15:26:06,130,12,13
2026-04-24 16:03:37,103,20,6
2026-04-24 16:12:06,102,22,6
2026-04-24 16:19:13,108,25,6
2026-04-24 17:05:11,107,28,11
2026-04-24 17:22:08,104,32,19
