dt,pool,aqua,wellness
2022-12-11 05:07:45,0,0,0
2022-12-11 05:29:59,0,0,0
2022-12-11 05:39:56,0,0,0
2022-12-11 05:47:33,0,0,0
2022-12-11 06:05:43,0,0,0
2022-12-11 06:23:14,0,0,0
2022-12-11 06:35:09,0,0,0
2022-12-11 06:47:28,0,0,0
2022-12-11 07:07:54,0,0,0
2022-12-11 07:28:58,0,0,0
2022-12-11 07:38:47,0,0,0
2022-12-11 07:47:29,0,0,0
2022-12-11 08:05:06,0,0,0
2022-12-11 08:21:25,0,0,0
2022-12-11 08:35:08,0,0,0
2022-12-11 08:47:36,0,0,0
2022-12-11 09:08:01,14,0,0
2022-12-11 09:28:41,30,9,12
2022-12-11 09:37:41,39,11,12
2022-12-11 09:47:35,39,17,14
