dt,pool,aqua,wellness
2018-12-01 06:00:03,0,0,0
2018-12-01 06:15:02,0,0,0
2018-12-01 06:30:03,0,0,0
2018-12-01 06:45:02,0,0,0
2018-12-01 07:00:05,0,0,0
2018-12-01 07:15:02,0,0,0
2018-12-01 07:30:04,0,0,0
2018-12-01 07:45:02,8,0,0
2018-12-01 08:00:02,10,0,0
2018-12-01 08:15:05,13,0,0
2018-12-01 08:30:02,13,0,0
2018-12-01 08:45:03,13,0,0
2018-12-01 09:00:03,13,0,0
2018-12-01 09:15:03,10,0,0
2018-12-01 09:30:03,9,0,0
2018-12-01 09:45:02,8,0,0
2018-12-01 10:00:04,8,0,0
2018-12-01 10:15:02,63,2,4
2018-12-01 10:30:04,67,25,11
2018-12-01 10:45:03,62,43,15
2018-12-01 11:00:02,68,56,18
2018-12-01 11:15:02,67,66,20
2018-12-01 11:30:03,63,67,23
2018-12-01 11:45:04,53,68,24
2018-12-01 12:00:03,61,60,22
2018-12-01 12:15:02,89,43,18
2018-12-01 12:30:03,67,45,19
2018-12-01 12:45:03,50,41,30
2018-12-01 13:00:04,60,36,32
2018-12-01 13:15:02,50,51,31
2018-12-01 13:30:02,42,53,35
2018-12-01 13:45:02,39,46,37
2018-12-01 14:00:04,43,55,43
2018-12-01 14:15:04,65,61,34
2018-12-01 14:30:03,64,80,29
2018-12-01 14:45:02,76,82,34
2018-12-01 15:00:03,78,85,38
2018-12-01 15:15:04,74,75,42
2018-12-01 15:30:02,84,79,35
2018-12-01 15:45:02,92,84,33
2018-12-01 16:00:03,83,94,33
2018-12-01 16:15:02,75,106,30
2018-12-01 16:30:02,86,93,34
2018-12-01 16:45:03,104,74,41
2018-12-01 17:00:03,93,77,42
2018-12-01 17:15:03,81,72,50
2018-12-01 17:30:03,67,83,51
2018-12-01 17:45:02,77,72,47
2018-12-01 18:00:04,75,73,40
2018-12-01 18:15:02,78,68,42
2018-12-01 18:30:04,58,68,47
2018-12-01 18:45:02,82,50,39
2018-12-01 19:00:05,70,40,39
2018-12-01 19:15:03,65,25,44
2018-12-01 19:30:03,46,24,41
2018-12-01 19:45:02,45,23,38
2018-12-01 20:00:02,59,13,33
2018-12-01 20:15:03,50,13,36
2018-12-01 20:30:03,44,12,38
2018-12-01 20:45:05,40,13,32
2018-12-01 21:00:03,34,15,23
2018-12-01 21:15:02,28,11,20
2018-12-01 21:30:03,26,0,16
2018-12-01 21:45:04,16,0,0
