dt,pool,aqua,wellness
2024-11-24 05:17:41,0,0,0
2024-11-24 05:31:31,0,0,0
2024-11-24 05:39:58,0,0,0
2024-11-24 05:48:42,0,0,0
2024-11-24 06:13:35,0,0,0
2024-11-24 06:29:05,0,0,0
2024-11-24 06:37:44,0,0,0
2024-11-24 06:48:25,0,0,0
2024-11-24 07:19:37,0,0,0
2024-11-24 07:34:44,0,0,0
2024-11-24 07:42:57,0,0,0
2024-11-24 07:50:39,0,0,0
2024-11-24 08:12:58,0,0,0
2024-11-24 08:26:11,0,0,0
2024-11-24 08:34:58,0,0,0
2024-11-24 08:48:11,1,0,0
2024-11-24 09:17:38,56,14,13
2024-11-24 09:31:05,65,25,17
2024-11-24 09:40:50,72,34,19
2024-11-24 09:49:31,71,41,22
2024-11-24 10:13:56,67,68,27
2024-11-24 10:25:30,63,71,23
2024-11-24 10:34:41,68,74,22
2024-11-24 10:48:27,86,71,22
2024-11-24 11:15:03,71,83,29
2024-11-24 11:30:38,90,76,23
2024-11-24 11:39:30,86,73,29
2024-11-24 11:48:14,87,69,27
2024-11-24 12:11:02,77,56,23
