dt,pool,aqua,wellness
2022-08-09 06:29:57,18,0,0
2022-08-09 06:53:32,18,0,0
2022-08-09 07:03:11,20,0,0
2022-08-09 07:08:55,20,0,0
2022-08-09 07:16:50,20,0,0
2022-08-09 07:32:53,25,0,0
2022-08-09 07:41:57,27,0,0
2022-08-09 07:48:45,31,0,0
2022-08-09 08:09:34,18,0,0
2022-08-09 08:36:23,21,0,0
2022-08-09 08:47:53,19,0,0
2022-08-09 08:55:16,28,0,0
2022-08-09 09:06:17,29,0,11
2022-08-09 09:26:11,40,0,16
2022-08-09 09:37:01,49,0,20
2022-08-09 09:47:33,53,0,20
2022-08-09 10:09:03,67,8,26
2022-08-09 10:33:01,53,17,33
2022-08-09 10:43:20,60,22,36
2022-08-09 10:51:59,62,18,41
2022-08-09 11:07:05,61,29,56
