dt,pool,aqua,wellness
2017-04-08 06:00:04,0,0,0
2017-04-08 06:15:03,0,0,0
2017-04-08 06:30:04,0,0,0
2017-04-08 06:45:03,0,0,0
2017-04-08 07:00:04,0,0,0
2017-04-08 07:15:03,0,0,0
2017-04-08 07:30:04,0,0,0
2017-04-08 07:45:04,1,0,0
2017-04-08 08:00:04,3,0,0
2017-04-08 08:15:03,3,0,0
2017-04-08 08:30:03,3,0,0
2017-04-08 08:45:03,3,0,0
2017-04-08 09:00:05,3,0,0
2017-04-08 09:15:03,3,0,0
2017-04-08 09:30:04,3,0,0
2017-04-08 09:45:02,3,0,0
2017-04-08 10:00:04,14,0,0
2017-04-08 10:15:04,68,7,7
2017-04-08 10:30:04,89,57,11
2017-04-08 10:45:04,75,101,18
2017-04-08 11:00:08,66,128,19
2017-04-08 11:15:05,49,138,24
2017-04-08 11:30:03,60,139,26
2017-04-08 11:45:03,77,126,24
2017-04-08 12:00:04,99,120,16
2017-04-08 12:15:03,111,74,17
2017-04-08 12:30:04,91,64,19
2017-04-08 12:45:03,59,60,20
2017-04-08 13:00:04,88,39,15
2017-04-08 13:15:03,57,51,18
2017-04-08 13:30:04,59,48,18
2017-04-08 13:45:04,87,49,12
2017-04-08 14:00:05,65,87,13
2017-04-08 14:15:03,61,106,15
2017-04-08 14:30:03,92,104,18
2017-04-08 14:45:04,101,124,19
2017-04-08 15:00:04,94,135,23
2017-04-08 15:15:03,110,145,27
2017-04-08 15:30:03,81,164,32
2017-04-08 15:45:03,106,157,35
2017-04-08 16:00:05,118,140,37
2017-04-08 16:15:04,100,156,31
2017-04-08 16:30:03,84,154,27
2017-04-08 16:45:03,64,157,30
2017-04-08 17:00:04,96,128,25
2017-04-08 17:15:04,80,126,21
2017-04-08 17:30:03,83,109,18
2017-04-08 17:45:04,86,101,12
2017-04-08 18:00:04,106,83,15
2017-04-08 18:15:03,89,97,16
2017-04-08 18:30:03,92,90,16
2017-04-08 18:45:03,93,70,15
2017-04-08 19:00:04,64,75,26
2017-04-08 19:15:03,78,67,30
2017-04-08 19:30:04,63,62,33
2017-04-08 19:45:04,74,49,30
2017-04-08 20:00:04,64,52,24
2017-04-08 20:15:03,71,39,25
2017-04-08 20:30:04,55,36,32
2017-04-08 20:45:03,53,32,29
2017-04-08 21:00:03,44,26,23
2017-04-08 21:15:04,34,20,19
2017-04-08 21:30:03,27,13,14
