dt,pool,aqua,wellness
2023-11-26 04:59:44,0,0,0
2023-11-26 05:21:00,0,0,0
2023-11-26 05:32:55,0,0,0
2023-11-26 05:49:02,0,0,0
2023-11-26 05:59:33,0,0,0
2023-11-26 06:19:27,0,0,0
2023-11-26 06:33:01,0,0,0
2023-11-26 06:49:07,0,0,0
2023-11-26 06:59:43,0,0,0
2023-11-26 07:21:05,0,0,0
2023-11-26 07:32:57,0,0,0
2023-11-26 07:48:57,0,0,0
2023-11-26 07:59:32,0,0,0
2023-11-26 08:18:13,0,0,0
2023-11-26 08:32:51,0,0,0
2023-11-26 08:48:54,0,0,0
2023-11-26 08:59:43,0,0,0
2023-11-26 09:20:55,45,15,7
2023-11-26 09:33:01,54,20,16
2023-11-26 09:49:03,56,26,21
2023-11-26 09:59:40,65,31,24
2023-11-26 10:18:16,81,57,24
2023-11-26 10:33:05,84,76,29
2023-11-26 10:48:49,80,83,25
2023-11-26 10:59:32,72,93,22
2023-11-26 11:20:12,64,96,19
2023-11-26 11:33:14,77,83,19
2023-11-26 11:49:10,86,72,17
2023-11-26 11:59:39,91,67,15
2023-11-26 12:17:06,86,53,17
2023-11-26 12:32:58,80,55,13
2023-11-26 12:48:53,72,58,11
2023-11-26 12:59:38,72,57,10
2023-11-26 13:22:29,90,52,14
2023-11-26 13:39:26,72,62,20
2023-11-26 13:52:33,72,65,20
2023-11-26 14:00:31,89,59,17
2023-11-26 14:20:20,77,56,20
2023-11-26 14:32:57,60,68,18
2023-11-26 14:49:04,67,60,17
2023-11-26 14:59:44,82,53,20
2023-11-26 15:19:06,82,63,29
2023-11-26 15:33:00,77,67,33
2023-11-26 15:49:08,83,56,36
2023-11-26 15:59:38,76,59,35
2023-11-26 16:18:46,83,46,35
2023-11-26 16:32:57,75,48,35
2023-11-26 16:49:12,58,56,28
2023-11-26 16:59:46,65,55,29
2023-11-26 17:21:08,60,57,35
2023-11-26 17:33:48,83,58,33
2023-11-26 17:49:04,81,57,47
2023-11-26 17:59:44,76,64,45
2023-11-26 18:19:02,91,59,50
