dt,pool,aqua,wellness
2017-10-14 06:00:03,0,0,0
2017-10-14 06:15:03,0,0,0
2017-10-14 06:30:08,0,0,0
2017-10-14 06:45:04,0,0,0
2017-10-14 07:00:04,0,0,0
2017-10-14 07:15:03,0,0,0
2017-10-14 07:30:08,0,0,0
2017-10-14 07:45:04,0,0,0
2017-10-14 08:00:03,0,0,0
2017-10-14 08:15:03,0,0,0
2017-10-14 08:30:04,0,0,0
2017-10-14 08:45:08,1,0,0
2017-10-14 09:00:05,4,0,0
2017-10-14 09:15:03,4,0,0
2017-10-14 09:30:04,4,0,0
2017-10-14 09:45:04,4,0,0
2017-10-14 10:00:05,7,0,0
2017-10-14 10:15:03,30,10,5
2017-10-14 10:30:05,39,26,8
2017-10-14 10:45:04,36,32,12
2017-10-14 11:00:03,41,37,15
2017-10-14 11:15:04,45,45,16
2017-10-14 11:30:05,47,38,21
2017-10-14 11:45:03,53,35,16
2017-10-14 12:00:05,41,33,16
2017-10-14 12:15:04,36,28,14
2017-10-14 12:30:04,49,19,15
2017-10-14 12:45:04,39,24,12
2017-10-14 13:00:03,34,25,14
2017-10-14 13:15:05,38,32,14
2017-10-14 13:30:04,34,36,11
2017-10-14 13:45:03,27,44,12
2017-10-14 14:00:04,24,55,12
2017-10-14 14:15:03,60,47,14
2017-10-14 14:30:04,42,75,19
2017-10-14 14:45:05,60,82,15
2017-10-14 15:00:04,60,89,15
2017-10-14 15:15:03,64,80,19
2017-10-14 15:30:04,81,87,17
2017-10-14 15:45:04,94,92,19
2017-10-14 16:00:04,84,91,19
2017-10-14 16:15:03,81,99,21
2017-10-14 16:30:04,80,93,25
2017-10-14 16:45:03,56,100,26
2017-10-14 17:00:07,81,89,28
2017-10-14 17:15:04,95,79,28
2017-10-14 17:30:05,76,79,27
2017-10-14 17:45:04,62,88,24
2017-10-14 18:00:04,86,80,21
2017-10-14 18:15:05,82,65,23
2017-10-14 18:30:05,62,66,30
2017-10-14 18:45:04,62,63,32
2017-10-14 19:00:05,72,54,29
2017-10-14 19:15:04,60,47,33
2017-10-14 19:30:05,43,45,32
2017-10-14 19:45:04,38,43,29
2017-10-14 20:00:04,48,37,26
2017-10-14 20:15:03,40,34,27
2017-10-14 20:30:05,36,30,26
2017-10-14 20:45:05,38,13,24
2017-10-14 21:00:05,31,7,22
2017-10-14 21:15:04,15,6,19
2017-10-14 21:30:03,23,0,12
2017-10-14 21:45:03,15,0,0
