dt,pool,aqua,wellness
2022-04-07 06:07:41,37,0,0
2022-04-07 06:35:20,54,0,0
2022-04-07 06:46:46,54,0,0
2022-04-07 06:54:26,54,0,0
2022-04-07 07:06:27,53,0,0
2022-04-07 07:26:04,40,0,0
2022-04-07 07:36:07,49,0,0
2022-04-07 07:47:26,54,0,0
2022-04-07 08:08:23,51,0,0
2022-04-07 08:33:30,46,0,0
2022-04-07 08:45:14,46,0,0
2022-04-07 08:53:12,46,0,0
2022-04-07 09:06:56,48,0,0
2022-04-07 09:25:58,56,0,0
2022-04-07 09:41:13,55,0,0
2022-04-07 09:50:49,52,0,0
2022-04-07 10:12:26,65,8,0
2022-04-07 10:35:09,63,23,0
2022-04-07 10:46:20,61,23,0
2022-04-07 10:54:18,63,22,0
2022-04-07 11:07:36,76,16,0
2022-04-07 11:27:32,76,14,0
2022-04-07 11:40:54,74,15,0
2022-04-07 11:52:03,78,17,0
2022-04-07 12:10:30,82,9,12
2022-04-07 12:34:22,71,13,15
2022-04-07 12:42:56,70,13,15
2022-04-07 12:51:11,81,13,17
2022-04-07 13:09:29,106,19,12
2022-04-07 13:27:17,103,36,11
2022-04-07 13:35:36,102,35,10
2022-04-07 13:51:38,103,35,11
2022-04-07 14:12:16,114,33,14
2022-04-07 14:50:07,123,13,13
2022-04-07 15:05:24,107,13,17
2022-04-07 15:08:00,107,13,17
2022-04-07 15:19:01,116,12,18
2022-04-07 15:39:32,127,7,26
2022-04-07 15:47:25,130,10,26
2022-04-07 15:49:04,130,10,26
2022-04-07 16:06:34,136,15,32
2022-04-07 16:28:17,135,15,31
2022-04-07 16:38:13,143,16,30
2022-04-07 16:47:42,162,21,35
2022-04-07 17:05:19,185,21,36
2022-04-07 17:28:14,175,27,32
2022-04-07 17:40:42,184,30,36
2022-04-07 17:54:17,189,39,34
2022-04-07 18:08:06,192,38,37
2022-04-07 18:41:16,150,34,25
2022-04-07 18:54:02,159,21,28
2022-04-07 18:59:50,161,20,26
