dt,pool,aqua,wellness
2022-04-10 09:06:18,20,0,0
2022-04-10 09:25:03,52,15,11
2022-04-10 09:35:23,45,45,14
2022-04-10 09:47:32,73,56,15
2022-04-10 10:07:43,83,91,20
2022-04-10 10:30:45,129,113,24
2022-04-10 10:40:28,122,123,20
2022-04-10 10:48:34,116,120,21
2022-04-10 11:06:14,118,110,20
2022-04-10 11:26:16,120,102,28
2022-04-10 11:37:25,127,92,30
2022-04-10 11:47:28,104,95,30
2022-04-10 12:06:21,133,51,27
2022-04-10 12:28:58,103,55,18
2022-04-10 12:38:58,93,63,18
2022-04-10 12:47:25,76,74,17
2022-04-10 13:05:33,75,67,18
2022-04-10 13:23:40,79,67,17
2022-04-10 13:35:04,74,78,22
2022-04-10 13:47:40,87,74,23
2022-04-10 14:09:40,90,101,29
2022-04-10 14:43:59,110,132,32
2022-04-10 14:56:07,98,151,34
2022-04-10 15:03:00,121,166,27
2022-04-10 15:14:11,109,179,29
2022-04-10 15:30:34,144,174,41
2022-04-10 15:39:07,130,195,37
2022-04-10 15:47:24,130,199,37
2022-04-10 16:04:53,142,169,27
2022-04-10 16:24:24,118,163,41
2022-04-10 16:36:02,129,144,38
2022-04-10 16:47:35,118,153,33
2022-04-10 17:06:35,119,138,38
2022-04-10 17:28:47,128,121,40
2022-04-10 17:40:14,106,115,39
2022-04-10 17:49:04,109,102,40
2022-04-10 18:07:30,123,61,36
2022-04-10 18:39:38,75,71,41
2022-04-10 18:52:21,79,62,39
2022-04-10 18:58:34,77,56,37
2022-04-10 19:08:08,74,54,36
2022-04-10 19:27:42,79,48,45
2022-04-10 19:37:59,84,39,45
2022-04-10 19:47:19,92,33,44
2022-04-10 20:07:39,90,17,40
2022-04-10 20:32:04,63,17,29
2022-04-10 20:42:43,61,8,23
2022-04-10 20:50:57,52,4,22
2022-04-10 21:04:02,27,0,0
2022-04-10 21:21:12,6,0,0
2022-04-10 21:35:01,6,0,0
