dt,pool,aqua,wellness
2023-04-16 05:59:44,0,0,0
2023-04-16 06:19:38,0,0,0
2023-04-16 06:32:33,0,0,0
2023-04-16 06:46:23,0,0,0
2023-04-16 06:59:51,0,0,0
2023-04-16 07:18:23,0,0,0
2023-04-16 07:32:27,7,0,0
2023-04-16 07:46:26,7,0,0
2023-04-16 07:59:43,7,0,0
2023-04-16 08:19:46,7,0,0
2023-04-16 08:32:31,7,0,0
2023-04-16 08:46:29,7,0,0
2023-04-16 08:59:44,7,0,0
2023-04-16 09:17:12,75,15,10
2023-04-16 09:32:25,99,32,12
2023-04-16 09:46:20,103,60,15
2023-04-16 09:59:45,110,68,19
2023-04-16 10:19:33,122,83,23
2023-04-16 10:32:19,99,101,22
2023-04-16 10:46:21,122,99,24
2023-04-16 10:59:43,120,101,21
2023-04-16 11:17:51,112,91,21
2023-04-16 11:32:17,106,94,17
2023-04-16 11:46:17,98,87,13
2023-04-16 12:00:00,87,90,11
2023-04-16 12:18:50,99,79,12
2023-04-16 12:32:25,104,71,11
2023-04-16 12:46:33,72,70,10
2023-04-16 12:59:56,87,67,11
2023-04-16 13:16:32,98,77,7
2023-04-16 13:32:23,80,95,6
2023-04-16 13:46:29,89,106,5
2023-04-16 13:59:47,71,118,8
2023-04-16 14:21:05,93,113,10
2023-04-16 14:39:13,66,136,17
2023-04-16 14:50:30,76,130,16
2023-04-16 15:00:42,97,112,15
2023-04-16 15:19:29,105,100,16
2023-04-16 15:32:21,118,95,21
2023-04-16 15:46:20,81,113,28
2023-04-16 15:59:47,100,109,28
2023-04-16 16:17:43,104,104,27
2023-04-16 16:32:26,116,88,23
2023-04-16 16:46:20,103,93,26
2023-04-16 16:59:42,97,97,31
2023-04-16 17:18:16,109,79,29
2023-04-16 17:32:31,117,68,26
2023-04-16 17:46:26,88,73,27
2023-04-16 17:59:46,78,70,30
2023-04-16 18:19:51,80,62,38
2023-04-16 18:34:08,91,59,30
2023-04-16 18:46:19,91,52,40
