dt,pool,aqua,wellness
2026-08-16 06:31:32,0,0,0
2026-08-16 06:47:01,0,0,0
2026-08-16 06:58:19,0,0,0
2026-08-16 07:04:31,0,0,0
2026-08-16 07:23:37,0,0,0
2026-08-16 07:38:59,0,0,0
2026-08-16 07:51:18,0,0,0
2026-08-16 07:59:33,0,0,0
2026-08-16 08:32:52,0,0,0
2026-08-16 08:55:48,0,0,0
2026-08-16 09:07:30,14,0,3
2026-08-16 09:17:08,22,0,5
2026-08-16 09:27:20,27,0,6
2026-08-16 09:42:01,42,0,7
2026-08-16 09:52:23,45,0,7
2026-08-16 09:58:20,43,0,8
2026-08-16 10:24:16,50,0,4
2026-08-16 10:44:19,43,0,4
2026-08-16 10:54:13,45,0,4
2026-08-16 11:01:24,41,0,4
2026-08-16 11:23:01,41,0,2
2026-08-16 11:37:42,38,0,1
2026-08-16 11:49:06,33,0,2
2026-08-16 11:57:57,39,0,2
2026-08-16 12:18:25,37,0,1
2026-08-16 12:36:18,37,0,1
2026-08-16 12:46:20,38,0,2
2026-08-16 12:57:39,32,0,2
2026-08-16 13:16:30,32,0,2
2026-08-16 13:31:22,33,0,2
2026-08-16 13:42:43,38,0,3
2026-08-16 13:55:15,33,0,5
2026-08-16 14:31:34,42,0,12
2026-08-16 14:57:48,39,0,14
2026-08-16 15:08:00,42,0,14
2026-08-16 15:17:15,43,0,18
2026-08-16 15:27:15,36,0,19
2026-08-16 15:41:39,39,0,20
2026-08-16 15:50:40,41,0,19
2026-08-16 15:57:46,39,0,15
2026-08-16 16:18:17,41,0,16
2026-08-16 16:35:27,39,0,12
2026-08-16 16:46:05,38,0,10
2026-08-16 16:57:43,38,0,12
2026-08-16 17:17:03,34,0,11
