dt,pool,aqua,wellness
2020-03-03 06:00:02,13,0,0
2020-03-03 06:15:03,46,0,0
2020-03-03 06:30:02,50,0,0
2020-03-03 06:45:02,62,0,0
2020-03-03 07:00:02,59,0,0
2020-03-03 07:15:02,46,0,0
2020-03-03 07:30:02,39,0,0
2020-03-03 07:45:03,37,0,0
2020-03-03 08:00:02,26,0,0
2020-03-03 08:15:02,27,0,0
2020-03-03 08:30:03,31,0,0
2020-03-03 08:45:02,34,0,0
2020-03-03 09:00:03,35,0,0
2020-03-03 09:15:03,31,0,0
2020-03-03 09:30:03,43,0,0
2020-03-03 09:45:05,41,0,0
2020-03-03 10:00:03,51,0,0
2020-03-03 10:15:04,49,20,0
2020-03-03 10:30:03,55,26,0
2020-03-03 10:45:02,47,35,0
2020-03-03 11:00:02,60,37,0
2020-03-03 11:15:02,55,44,0
2020-03-03 11:30:03,75,42,0
2020-03-03 11:45:02,64,55,0
2020-03-03 12:00:03,70,52,0
2020-03-03 12:15:02,49,50,20
2020-03-03 12:30:02,41,54,21
2020-03-03 12:45:02,50,52,23
2020-03-03 13:00:03,63,53,21
2020-03-03 13:15:02,69,60,25
2020-03-03 13:30:02,74,68,21
2020-03-03 13:45:03,63,78,29
2020-03-03 14:00:02,60,78,33
2020-03-03 14:15:02,68,56,31
2020-03-03 14:30:02,79,45,30
2020-03-03 14:45:02,89,49,16
2020-03-03 15:00:02,99,40,17
2020-03-03 15:15:02,79,46,20
2020-03-03 15:30:04,93,43,19
2020-03-03 15:45:02,104,40,17
2020-03-03 16:00:03,105,40,24
2020-03-03 16:15:02,113,48,28
2020-03-03 16:30:02,110,51,29
2020-03-03 16:45:02,138,59,26
2020-03-03 17:00:03,155,52,25
2020-03-03 17:15:02,166,47,24
2020-03-03 17:30:03,146,49,32
2020-03-03 17:45:02,151,49,32
2020-03-03 18:00:02,193,41,30
2020-03-03 18:15:03,175,30,26
2020-03-03 18:30:02,158,25,24
2020-03-03 18:45:02,166,30,25
2020-03-03 19:00:02,153,50,27
2020-03-03 19:15:02,149,51,29
2020-03-03 19:30:03,144,43,19
2020-03-03 19:45:03,118,35,28
2020-03-03 20:00:03,135,5,35
2020-03-03 20:15:03,77,5,34
2020-03-03 20:30:02,57,5,33
2020-03-03 20:45:02,43,2,29
2020-03-03 21:00:02,29,0,14
2020-03-03 21:15:02,5,0,0
2020-03-03 21:30:02,5,0,0
2020-03-03 21:45:03,5,0,0
