dt,pool,aqua,wellness
2025-01-11 05:17:01,0,0,0
2025-01-11 05:29:58,0,0,0
2025-01-11 05:38:14,0,0,0
2025-01-11 05:48:31,0,0,0
2025-01-11 06:12:59,0,0,0
2025-01-11 06:27:50,0,0,0
2025-01-11 06:36:07,0,0,0
2025-01-11 06:48:17,0,0,0
2025-01-11 07:18:48,6,0,0
2025-01-11 07:33:04,9,0,0
2025-01-11 07:40:38,9,0,0
2025-01-11 07:48:28,16,0,0
2025-01-11 08:12:20,22,0,0
2025-01-11 08:22:44,22,0,0
2025-01-11 08:34:21,22,0,0
2025-01-11 08:48:22,22,0,0
2025-01-11 09:16:50,69,11,14
2025-01-11 09:29:41,78,20,17
2025-01-11 09:38:00,69,39,19
2025-01-11 09:48:05,75,56,22
2025-01-11 10:13:29,96,89,32
2025-01-11 10:24:45,106,118,36
2025-01-11 10:33:57,128,121,40
2025-01-11 10:48:17,128,147,32
2025-01-11 11:13:40,121,162,35
2025-01-11 11:29:11,113,166,32
2025-01-11 11:36:55,118,151,30
2025-01-11 11:48:24,137,122,31
2025-01-11 12:10:33,165,100,30
2025-01-11 12:21:12,154,93,34
2025-01-11 12:34:29,134,115,38
2025-01-11 12:48:12,110,132,35
2025-01-11 13:26:30,104,156,33
2025-01-11 13:46:20,121,187,42
2025-01-11 13:53:42,103,201,48
2025-01-11 14:00:31,113,211,45
2025-01-11 14:17:26,120,216,45
2025-01-11 14:26:50,136,218,45
2025-01-11 14:34:03,136,223,48
2025-01-11 14:48:09,133,234,50
2025-01-11 15:11:39,155,260,40
2025-01-11 15:26:22,155,237,45
2025-01-11 15:35:33,158,228,45
