dt,pool,aqua,wellness
2025-01-15 05:16:52,0,0,0
2025-01-15 05:29:40,0,0,0
2025-01-15 05:37:53,0,0,0
2025-01-15 05:48:14,0,0,0
2025-01-15 06:14:38,34,0,0
2025-01-15 06:29:19,43,0,0
2025-01-15 06:37:02,48,0,0
2025-01-15 06:48:28,50,0,0
2025-01-15 07:19:44,40,0,0
2025-01-15 07:33:50,36,0,0
2025-01-15 07:41:18,38,0,0
2025-01-15 07:48:28,35,0,0
2025-01-15 08:13:16,23,0,0
2025-01-15 08:23:31,23,0,0
2025-01-15 08:35:00,23,0,0
2025-01-15 08:48:27,30,0,0
2025-01-15 09:18:20,32,0,0
2025-01-15 09:31:15,38,0,0
2025-01-15 09:40:05,39,0,0
2025-01-15 09:48:40,45,0,0
2025-01-15 10:14:31,41,21,18
2025-01-15 10:26:30,45,29,19
2025-01-15 10:35:17,43,37,22
2025-01-15 10:48:29,41,39,28
2025-01-15 11:14:50,47,26,27
2025-01-15 11:30:36,50,21,29
2025-01-15 11:38:22,45,25,29
2025-01-15 11:48:35,57,20,17
2025-01-15 12:12:26,45,8,16
2025-01-15 12:22:41,33,8,16
2025-01-15 12:34:44,24,8,18
2025-01-15 12:48:11,45,8,19
2025-01-15 13:28:01,43,12,23
2025-01-15 13:48:26,42,10,18
2025-01-15 13:55:44,44,12,18
2025-01-15 14:02:05,51,12,17
2025-01-15 14:19:35,57,15,18
2025-01-15 14:28:51,53,20,17
2025-01-15 14:36:33,61,17,17
2025-01-15 14:48:25,80,10,21
2025-01-15 15:13:17,91,14,23
2025-01-15 15:28:13,86,19,23
2025-01-15 15:37:27,86,20,24
2025-01-15 15:48:26,100,24,22
2025-01-15 16:14:53,123,28,21
2025-01-15 16:27:18,112,35,22
2025-01-15 16:36:06,128,29,24
2025-01-15 16:48:10,110,37,32
2025-01-15 17:17:27,127,22,40
2025-01-15 17:30:15,117,30,47
2025-01-15 17:39:56,135,28,42
2025-01-15 17:48:32,130,33,42
2025-01-15 18:12:32,113,44,39
2025-01-15 18:26:23,98,35,40
2025-01-15 18:35:16,99,31,46
2025-01-15 18:48:26,115,26,35
2025-01-15 19:18:55,126,17,42
2025-01-15 19:31:29,119,16,41
2025-01-15 19:40:34,112,18,37
2025-01-15 19:48:19,107,16,37
2025-01-15 20:11:07,106,11,30
2025-01-15 20:20:11,77,10,26
2025-01-15 20:34:18,49,10,24
2025-01-15 20:48:09,38,9,19
2025-01-15 21:14:54,8,2,0
2025-01-15 21:26:28,3,1,0
2025-01-15 21:33:37,3,1,0
2025-01-15 21:48:31,3,1,0
