dt,pool,aqua,wellness
2022-01-12 05:00:26,0,0,0
2022-01-12 05:42:49,0,0,0
2022-01-12 05:47:49,0,0,0
2022-01-12 05:59:07,2,0,0
2022-01-12 06:06:18,28,0,0
2022-01-12 06:29:58,37,0,0
2022-01-12 06:34:35,39,0,0
2022-01-12 06:50:04,47,0,0
2022-01-12 07:00:26,41,0,0
2022-01-12 07:38:45,29,0,0
2022-01-12 07:44:50,26,0,0
2022-01-12 07:56:51,28,0,0
2022-01-12 08:00:29,28,0,0
2022-01-12 08:29:06,25,0,0
2022-01-12 08:33:52,24,0,0
2022-01-12 08:49:48,22,0,0
2022-01-12 09:00:35,20,0,0
2022-01-12 09:36:32,30,0,0
2022-01-12 09:41:20,30,0,0
2022-01-12 09:52:51,31,0,0
2022-01-12 10:00:47,36,0,5
2022-01-12 10:31:01,48,11,22
2022-01-12 10:36:40,46,14,22
2022-01-12 10:49:58,47,12,23
