dt,pool,aqua,wellness
2025-10-27 05:26:42,0,0,0
2025-10-27 05:40:00,0,0,0
2025-10-27 05:47:27,0,0,0
2025-10-27 05:53:55,0,0,0
2025-10-27 06:17:18,19,0,0
2025-10-27 06:33:10,28,0,0
2025-10-27 06:41:03,31,0,0
2025-10-27 06:49:48,29,0,0
2025-10-27 07:27:42,35,0,0
2025-10-27 07:46:59,46,0,0
2025-10-27 07:52:22,54,0,0
2025-10-27 07:57:25,55,0,0
2025-10-27 08:17:02,44,0,0
2025-10-27 08:28:53,44,0,0
2025-10-27 08:37:08,48,0,0
2025-10-27 08:48:20,47,0,0
2025-10-27 09:22:56,58,0,0
2025-10-27 09:38:38,70,0,0
2025-10-27 09:46:21,70,0,0
2025-10-27 09:54:23,105,0,0
2025-10-27 10:20:18,130,112,0
2025-10-27 10:34:04,126,200,0
2025-10-27 10:41:48,135,220,0
2025-10-27 10:50:29,130,261,0
2025-10-27 11:19:50,147,300,0
2025-10-27 11:36:09,164,290,0
2025-10-27 11:43:47,176,280,0
