dt,pool,aqua,wellness
2025-11-28 05:20:48,0,0,0
2025-11-28 05:35:36,0,0,0
2025-11-28 05:43:43,0,0,0
2025-11-28 05:51:41,12,0,0
2025-11-28 06:17:59,40,0,0
2025-11-28 06:33:15,45,0,0
2025-11-28 06:41:38,46,0,0
2025-11-28 06:50:01,47,0,0
2025-11-28 07:27:21,35,0,0
2025-11-28 07:45:50,29,0,0
2025-11-28 07:51:27,30,0,0
2025-11-28 07:56:57,30,0,0
2025-11-28 08:17:07,26,0,0
2025-11-28 08:29:34,20,0,0
2025-11-28 08:37:46,17,0,0
2025-11-28 08:48:19,15,0,0
2025-11-28 09:40:48,26,0,0
2025-11-28 09:47:54,29,0,0
2025-11-28 09:55:57,28,0,0
2025-11-28 10:18:19,27,10,0
2025-11-28 10:31:47,27,13,0
2025-11-28 10:39:45,25,13,0
2025-11-28 10:48:45,40,11,0
2025-11-28 11:19:23,41,11,0
2025-11-28 11:35:46,42,9,0
2025-11-28 11:42:57,47,9,0
2025-11-28 11:51:33,49,8,0
2025-11-28 12:15:00,45,7,12
2025-11-28 12:26:50,50,7,13
2025-11-28 12:36:18,50,8,17
2025-11-28 12:48:21,56,7,17
2025-11-28 13:35:30,50,14,20
2025-11-28 13:59:16,68,15,23
2025-11-28 14:05:24,80,13,23
2025-11-28 14:18:38,98,4,19
2025-11-28 14:28:10,99,8,19
2025-11-28 14:39:16,99,15,16
2025-11-28 14:44:58,105,15,16
2025-11-28 14:50:56,101,20,17
2025-11-28 15:17:23,111,21,23
2025-11-28 15:32:36,125,20,23
2025-11-28 15:41:28,116,25,25
2025-11-28 15:50:12,111,24,24
2025-11-28 16:17:25,116,26,22
2025-11-28 16:30:46,108,28,27
2025-11-28 16:38:54,95,33,33
2025-11-28 16:48:23,98,35,33
2025-11-28 17:20:51,118,19,31
2025-11-28 17:36:43,84,23,27
2025-11-28 17:44:36,80,21,29
2025-11-28 17:52:56,82,15,28
2025-11-28 18:14:29,69,23,27
2025-11-28 18:29:02,73,20,30
2025-11-28 18:37:58,69,23,28
2025-11-28 18:48:07,82,19,31
2025-11-28 19:24:12,70,17,26
2025-11-28 19:40:13,51,23,27
2025-11-28 19:46:42,50,24,29
2025-11-28 19:52:51,57,21,29
2025-11-28 20:12:47,42,21,24
2025-11-28 20:24:18,38,19,22
