dt,pool,aqua,wellness
2018-03-16 06:00:07,0,0,0
2018-03-16 06:15:04,10,0,0
2018-03-16 06:30:06,17,0,0
2018-03-16 06:45:04,21,0,0
2018-03-16 07:00:05,22,0,0
2018-03-16 07:15:04,29,0,0
2018-03-16 07:30:07,29,0,0
2018-03-16 07:45:05,26,0,0
2018-03-16 08:00:08,23,0,0
2018-03-16 08:15:04,20,0,0
2018-03-16 08:30:05,19,0,0
2018-03-16 08:45:06,17,0,0
2018-03-16 09:00:06,19,0,0
2018-03-16 09:15:04,23,0,0
2018-03-16 09:30:05,22,0,0
2018-03-16 09:45:04,28,0,0
2018-03-16 10:00:07,98,0,0
2018-03-16 10:15:03,72,90,0
2018-03-16 10:30:05,93,173,0
2018-03-16 10:45:03,90,217,0
2018-03-16 11:00:05,76,258,0
2018-03-16 11:15:04,118,244,0
2018-03-16 11:30:04,122,252,2
2018-03-16 11:45:04,127,240,2
2018-03-16 12:00:09,160,183,6
2018-03-16 12:15:04,142,165,13
2018-03-16 12:30:04,101,148,22
2018-03-16 12:45:04,108,122,25
2018-03-16 13:00:04,106,110,30
2018-03-16 13:15:03,117,93,30
2018-03-16 13:30:04,92,135,28
2018-03-16 13:45:04,86,140,26
2018-03-16 14:00:04,92,136,31
2018-03-16 14:15:04,115,150,28
2018-03-16 14:30:03,107,160,24
2018-03-16 14:45:04,100,170,26
2018-03-16 15:00:05,107,172,21
2018-03-16 15:15:03,108,162,21
2018-03-16 15:30:04,114,152,25
2018-03-16 15:45:08,152,116,29
2018-03-16 16:00:05,110,136,30
2018-03-16 16:15:04,114,143,34
2018-03-16 16:30:03,134,127,43
2018-03-16 16:45:04,113,129,34
2018-03-16 17:00:06,125,109,34
2018-03-16 17:15:09,121,108,39
2018-03-16 17:30:05,100,114,36
2018-03-16 17:45:03,85,112,44
2018-03-16 18:00:07,107,91,42
2018-03-16 18:15:05,103,85,39
2018-03-16 18:30:05,86,80,39
2018-03-16 18:45:03,79,78,41
2018-03-16 19:00:04,97,65,38
2018-03-16 19:15:04,85,65,39
2018-03-16 19:30:05,103,44,34
2018-03-16 19:45:04,81,45,35
2018-03-16 20:00:06,73,38,30
2018-03-16 20:15:06,63,41,32
2018-03-16 20:30:04,55,37,37
2018-03-16 20:45:03,52,37,27
2018-03-16 21:00:09,57,13,27
2018-03-16 21:15:04,37,8,26
2018-03-16 21:30:04,32,5,18
2018-03-16 21:45:04,11,2,0
