dt,pool,aqua,wellness
2018-03-27 06:00:04,10,0,0
2018-03-27 06:15:04,36,0,0
2018-03-27 06:30:05,47,0,0
2018-03-27 06:45:08,49,0,0
2018-03-27 07:00:08,48,0,0
2018-03-27 07:15:04,52,0,0
2018-03-27 07:30:04,39,0,0
2018-03-27 07:45:04,34,0,0
2018-03-27 08:00:08,23,0,0
2018-03-27 08:15:04,23,0,0
2018-03-27 08:30:04,22,0,0
2018-03-27 08:45:03,22,0,0
2018-03-27 09:00:09,23,0,0
2018-03-27 09:15:04,22,0,0
2018-03-27 09:30:04,39,0,0
2018-03-27 09:45:04,34,0,0
2018-03-27 10:00:05,51,0,0
2018-03-27 10:15:04,54,6,0
2018-03-27 10:30:05,63,11,0
2018-03-27 10:45:04,58,17,0
2018-03-27 11:00:05,59,13,0
2018-03-27 11:15:04,64,8,0
2018-03-27 11:30:04,59,7,0
2018-03-27 11:45:05,61,7,0
2018-03-27 12:00:05,56,6,0
2018-03-27 12:15:03,57,3,11
2018-03-27 12:30:04,43,3,13
2018-03-27 12:45:04,26,10,14
2018-03-27 13:00:05,33,8,14
2018-03-27 13:15:05,54,8,13
2018-03-27 13:30:05,42,40,15
2018-03-27 13:45:03,43,42,14
2018-03-27 14:00:04,40,45,11
2018-03-27 14:15:03,59,32,9
2018-03-27 14:30:06,52,15,14
2018-03-27 14:45:04,54,10,14
2018-03-27 15:00:08,64,7,10
2018-03-27 15:15:03,68,5,12
2018-03-27 15:30:05,62,9,15
2018-03-27 15:45:03,67,7,18
2018-03-27 16:00:08,68,14,17
2018-03-27 16:15:03,81,16,16
2018-03-27 16:30:03,87,20,13
2018-03-27 16:45:03,75,24,22
2018-03-27 17:00:08,87,26,23
2018-03-27 17:15:03,94,25,26
2018-03-27 17:30:03,87,34,26
2018-03-27 17:45:03,103,29,30
2018-03-27 18:00:07,110,32,23
2018-03-27 18:15:06,93,35,29
2018-03-27 18:30:04,90,34,26
2018-03-27 18:45:03,94,28,38
2018-03-27 19:00:05,103,32,36
2018-03-27 19:15:04,92,43,31
2018-03-27 19:30:04,89,35,34
2018-03-27 19:45:04,75,34,40
2018-03-27 20:00:05,75,15,42
2018-03-27 20:15:04,72,6,35
2018-03-27 20:30:05,53,9,30
2018-03-27 20:45:04,49,12,27
2018-03-27 21:00:03,34,9,22
2018-03-27 21:15:04,33,4,16
2018-03-27 21:30:04,20,0,3
2018-03-27 21:45:06,2,0,0
