dt,pool,aqua,wellness
2023-05-20 05:59:43,0,0,0
2023-05-20 06:19:40,0,0,0
2023-05-20 06:32:17,0,0,0
2023-05-20 06:46:42,0,0,0
2023-05-20 06:59:43,0,0,0
2023-05-20 07:18:08,0,0,0
2023-05-20 07:32:31,0,0,0
2023-05-20 07:46:20,3,0,0
2023-05-20 07:59:49,18,0,0
2023-05-20 08:19:55,22,0,0
2023-05-20 08:32:28,22,0,0
2023-05-20 08:46:25,22,0,0
2023-05-20 08:59:50,22,0,0
2023-05-20 09:16:42,42,8,5
2023-05-20 09:32:19,42,17,5
2023-05-20 09:46:41,50,18,6
2023-05-20 09:59:46,63,19,6
2023-05-20 10:19:31,71,26,7
2023-05-20 10:32:21,56,35,7
2023-05-20 10:46:26,61,43,7
2023-05-20 10:59:44,69,41,6
2023-05-20 11:17:10,71,34,7
2023-05-20 11:32:36,71,38,10
2023-05-20 11:46:22,62,44,10
2023-05-20 11:59:43,60,42,11
2023-05-20 12:18:43,41,46,12
